Title,Author,ISBN,Link,Image
Trustworthy AI: A Business Guide for Navigating Trust and Ethics in AI,Beena Ammanath,9781119867920,https://bookshop.org/search?keywords=9781119867920,https://images-us.bookshop.org/ingram/9781119867920.jpg?height=500&v=v2
"I Have No Mouth, and I Must Scream",Harlan Ellison,9781454969280,https://bookshop.org/search?keywords=9781454969280,https://images-us.bookshop.org/ingram/9781454969280.jpg?height=500&v=v2
"A Gift of Fire: Social, Legal, and Ethical Issues for Computing Technology",Timothy Henry and Sara Baase,9780134615271,https://bookshop.org/p/books/a-gift-of-fire-social-legal-and-ethical-issues-for-computing-technology-timothy-henry/9446498?ean=9780134615271,https://images-us.bookshop.org/ingram/9780134615271.jpg?height=500&v=v2
Addiction by Design: Machine Gambling in Las Vegas,Natasha Dow Schüll,9780691160887,https://bookshop.org/p/books/addiction-by-design-machine-gambling-in-las-vegas-natasha-dow-schull/8970988?ean=9780691160887,https://images-us.bookshop.org/ingram/9780691160887.jpg?height=500&v=v2-3b6baf93e1753354aa729a78344df1b7
AI 2041: Ten Visions for Our Future,Kai-Fu Lee and Chen Qiufan,9780593238318,https://bookshop.org/p/books/ai-2041-ten-visions-for-our-future-kai-fu-lee/15911526?ean=9780593238318,https://images-us.bookshop.org/ingram/9780593238318.jpg?height=500&v=v2-9b50a89a985d2bbcd45af70c7e20551a
"AI Snake Oil: What Artificial Intelligence Can Do, What It Can't, and How to Tell the Difference",Sayash Kapoor and Arvind Narayanan,9780691249148,https://bookshop.org/p/books/ai-snake-oil-what-artificial-intelligence-can-do-what-it-can-t-and-how-to-tell-the-difference-arvind-narayanan/21324674?ean=9780691249148,https://images-us.bookshop.org/ingram/9780691249148.jpg?height=500&v=v2-ef5d757aa9ceec699f9da5cb493fb9c1
Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Umoja Noble,9781479837243,https://bookshop.org/p/books/algorithms-of-oppression-how-search-engines-reinforce-racism-safiya-umoja-noble/966821?ean=9781479837243,https://images-us.bookshop.org/ingram/9781479837243.jpg?height=500&v=v2-3512467cb0fa5407dbfec0b29d68874f
Algorithms to Live by: The Computer Science of Human Decisions,Tom Griffiths and Brian Christian,9781250118363,https://bookshop.org/p/books/algorithms-to-live-by-the-computer-science-of-human-decisions-tom-griffiths/230238?ean=9781250118363,https://images-us.bookshop.org/ingram/9781250118363.jpg?height=500&v=v2-4ae616b6ea5d3fc72146bbffa0ea898a
All Systems Red,Martha Wells,9780765397539,https://bookshop.org/p/books/all-systems-red-martha-wells/7104100?ean=9780765397539,https://images-us.bookshop.org/ingram/9780765397539.jpg?height=500&v=v2-f65a450467e18ffba3d7ae555786acbf
"Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence",Kate Crawford,9780300264630,https://bookshop.org/p/books/atlas-of-ai-power-politics-and-the-planetary-costs-of-artificial-intelligence-kate-crawford/17465404?ean=9780300264630,https://images-us.bookshop.org/ingram/9780300264630.jpg?height=500&v=v2-b383bd51a9084bc667ae28bf97822552
Automation and the Future of Work,Aaron Benanav,9781839761324,https://bookshop.org/p/books/automation-and-the-future-of-work-aaron-benanav/14654313?ean=9781839761324,https://images-us.bookshop.org/ingram/9781839761324.jpg?height=500&v=v2
Code Dependent: Living in the Shadow of AI,Madhumita Murgia,9781250867391,https://bookshop.org/p/books/code-dependent-our-lives-with-algorithms-madhumita-murgia/19995380?ean=9781250867391,https://images-us.bookshop.org/ingram/9781250867391.jpg?height=500&v=v2-61b7cfec704afeb1e11573ec9fc369d5
Code Work: Hacking Across the Us/México Techno-Borderlands,Héctor Beltrán,9780691245041,https://bookshop.org/p/books/code-work-hacking-across-the-us-mexico-techno-borderlands-hector-beltran/19947891?ean=9780691245041,https://images-us.bookshop.org/ingram/9780691245041.jpg?height=500&v=v2-44f9f3d73fdb9bb43dbedf3dd1faea11
"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety",Eric Schlosser,9780143125785,https://bookshop.org/p/books/command-and-control-nuclear-weapons-the-damascus-accident-and-the-illusion-of-safety-eric-schlosser/6676064?ean=9780143125785,https://images-us.bookshop.org/ingram/9780143125785.jpg?height=500&v=v2-17d15bed5efbf187a07f2165d9c3e2ff
Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,9780770436193,https://bookshop.org/p/books/countdown-to-zero-day-stuxnet-and-the-launch-of-the-world-s-first-digital-weapon-kim-zetter/7650650?ean=9780770436193,https://images-us.bookshop.org/ingram/9780770436193.jpg?height=500&v=v2-908f1e101179113ddbfecff88ac4d8b2
Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,Bruce Schneier,9780393352177,https://bookshop.org/p/books/data-and-goliath-the-hidden-battles-to-collect-your-data-and-control-your-world-bruce-schneier/8771636?ean=9780393352177,https://images-us.bookshop.org/ingram/9780393352177.jpg?height=500&v=v2
Data Feminism,Catherine D'Ignazio and Lauren F. Klein,9780262547185,https://bookshop.org/p/books/data-feminism-lauren-f-klein/13050994?ean=9780262547185,https://images-us.bookshop.org/ingram/9780262547185.jpg?height=500&v=v2-beac2e16af66c276bd83fc8e247c4cbc
Data Versus Democracy: How Big Data Algorithms Shape Opinions and Alter the Course of History,Kris Shaffer,9781484245392,https://bookshop.org/p/books/data-versus-democracy-how-big-data-algorithms-shape-opinions-and-alter-the-course-of-history-kris-shaffer/8862690?ean=9781484245392,https://images-us.bookshop.org/ingram/9781484245392.jpg?height=500&v=v2
Digital Disconnect: How Capitalism Is Turning the Internet Against Democracy,Robert W. McChesney,9781620970317,https://bookshop.org/p/books/digital-disconnect-how-capitalism-is-turning-the-internet-against-democracy-robert-w-mcchesney/594496?ean=9781620970317,https://images-us.bookshop.org/ingram/9781620970317.jpg?height=500&v=v2
Ethical and Legal Aspects of Computing: A Professional Perspective from Software Engineering (2024),Gerard O'Regan,9783031526633,https://bookshop.org/p/books/ethical-and-legal-aspects-of-computing-a-professional-perspective-from-software-engineering-2024-gerard-o-regan/20985526?ean=9783031526633,https://images-us.bookshop.org/ingram/9783031526633.jpg?height=500&v=v2-a3f5f385e970f93e71fefaecd15643c8
"Extremely Online: The Untold Story of Fame, Influence, and Power on the Internet",Taylor Lorenz,9781982146870,https://bookshop.org/p/books/extremely-online-the-untold-story-of-fame-influence-and-power-on-the-internet-taylor-lorenz/19718842?ean=9781982146870,https://images-us.bookshop.org/ingram/9781982146870.jpg?height=500&v=v2-a160420cd941e665c1a751541612e4a3
Fahrenheit 451 (Reissue),Ray Bradbury,9781451673319,https://bookshop.org/p/books/fahrenheit-451-ray-d-bradbury/18152942?ean=9781451673319,https://images-us.bookshop.org/ingram/9781451673319.jpg?height=500&v=v2-dc65e30376a0b848ad515d65993e1aed
Flowers for Algernon,Daniel Keyes,9780156030304,https://bookshop.org/p/books/flowers-for-algernon-daniel-keyes/6683258?ean=9780156030304,https://images-us.bookshop.org/ingram/9780156030304.jpg?height=500&v=v2-908ea7c6953b52a6a0dda40027640be4
If Then: How the Simulmatics Corporation Invented the Future,Jill Lepore,9781324091127,https://bookshop.org/p/books/if-then-how-the-simulmatics-corporation-invented-the-future-jill-lepore/14327786?ean=9781324091127,https://images-us.bookshop.org/ingram/9781324091127.jpg?height=500&v=v2
"iGen: Why Today's Super-Connected Kids Are Growing Up Less Rebellious, More Tolerant, Less Happy--And Completely Unprepared for Adulthood--And What Th",Jean M. Twenge,9781501152016,https://bookshop.org/p/books/igen-why-today-s-super-connected-kids-are-growing-up-less-rebellious-more-tolerant-less-happy-and-completely-unprepared-jean-m-twenge/6690796?ean=9781501152016,https://images-us.bookshop.org/ingram/9781501152016.jpg?height=500&v=v2-6cc34e832703a6c943c682ebf500a4a4
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,9781101970317,https://bookshop.org/p/books/life-3-0-being-human-in-the-age-of-artificial-intelligence-max-tegmark/7482820?ean=9781101970317,https://images-us.bookshop.org/ingram/9781101970317.jpg?height=500&v=v2-6cb92d5fd4289b2160ef8bf9ca3a4191
Likewar: The Weaponization of Social Media,P. W. Singer and Emerson T Brooking,9780358108474,https://bookshop.org/p/books/likewar-the-weaponization-of-social-media-p-w-singer/6961043?ean=9780358108474,https://images-us.bookshop.org/ingram/9780358108474.jpg?height=500&v=v2-4faa76c96ff8c1558d16a273ad8e5a51
Meme Wars: The Untold Story of the Online Battles Upending Democracy in America,"Joan Donovan, Emily Dreyfuss, et al.",9781635578638,https://bookshop.org/p/books/meme-wars-the-untold-story-of-the-online-battles-upending-democracy-in-america-joan-donovan/17875088?ean=9781635578638,https://images-us.bookshop.org/ingram/9781635578638.jpg?height=500&v=v2-d6f6c37394fd3fe3319066bf2a5fa0f5
"More Than a Glitch: Confronting Race, Gender, and Ability Bias in Tech",Meredith Broussard,9780262548328,https://bookshop.org/p/books/more-than-a-glitch-confronting-race-gender-and-ability-bias-in-tech-meredith-broussard/20870739?ean=9780262548328,https://images-us.bookshop.org/ingram/9780262548328.jpg?height=500&v=v2-fe8905a47d6aacce2511e32f03a352f6
Neuromancer,William Gibson,9780441007462,https://bookshop.org/p/books/neuromancer-william-gibson/7503287?ean=9780441007462,https://images-us.bookshop.org/ingram/9780441007462.jpg?height=500&v=v2
Ready Player One,Ernest Cline,9780307887443,https://bookshop.org/p/books/ready-player-one-ernest-cline/228873?ean=9780307887443,https://images-us.bookshop.org/ingram/9780307887443.jpg?height=500&v=v2-dad53e23bfdc141ee88cdb4798534045
"Technically Wrong: Sexist Apps, Biased Algorithms, and Other Threats of Toxic Tech",Sara Wachter-Boettcher,9780393356045,https://bookshop.org/p/books/technically-wrong-sexist-apps-biased-algorithms-and-other-threats-of-toxic-tech-sara-wachter-boettcher/11186625?ean=9780393356045,https://images-us.bookshop.org/ingram/9780393356045.jpg?height=500&v=v2
The AI Con: How to Fight Big Tech's Hype and Create the Future We Want,Emily M. Bender and Alex Hanna,9780063418561,https://bookshop.org/p/books/the-ai-con-how-to-fight-big-tech-s-hype-and-create-the-future-we-want-alex-hanna/22044744?ean=9780063418561,https://images-us.bookshop.org/ingram/9780063418561.jpg?height=500&v=v2-4bdfd16707e1d28d8c04ea12ba6c83b5
The AI Mirror: How to Reclaim Our Humanity in an Age of Machine Thinking,Shannon Vallor,9780197759066,https://bookshop.org/p/books/the-ai-mirror-how-to-reclaim-our-humanity-in-an-age-of-machine-thinking-shannon-vallor/20842432?ean=9780197759066,https://images-us.bookshop.org/ingram/9780197759066.jpg?height=500&v=v2
"The Algorithm: How AI Decides Who Gets Hired, Monitored, Promoted, and Fired and Why We Need to Fight Back Now",Hilke Schellmann,9780306827341,https://bookshop.org/p/books/the-algorithm-how-ai-decides-who-get-hired-monitored-promoted-and-fired-and-why-we-need-to-fight-back-now-hilke-schellmann/20055224?ean=9780306827341,https://images-us.bookshop.org/ingram/9780306827341.jpg?height=500&v=v2-d712839470cb3c2eb104e71cef298606
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,9780553380965,https://bookshop.org/p/books/the-diamond-age-or-a-young-lady-s-illustrated-primer-neal-stephenson/8466804?ean=9780553380965,https://images-us.bookshop.org/ingram/9780553380965.jpg?height=500&v=v2-c041df464430345e0f9335f3e293d585
The Ethical Algorithm: The Science of Socially Aware Algorithm Design,Michael Kearns and Aaron Roth,9780190948207,https://bookshop.org/p/books/the-ethical-algorithm-the-science-of-socially-aware-algorithm-design-michael-kearns/11705689?ean=9780190948207,https://images-us.bookshop.org/ingram/9780190948207.jpg?height=500&v=v2-6d02da94294b0595b0f5facd0532abc2
The Glass Cage: How Our Computers Are Changing Us,Nicholas Carr,9780393351637,https://bookshop.org/p/books/the-glass-cage-how-our-computers-are-changing-us-nicholas-carr/8769635?ean=9780393351637,https://images-us.bookshop.org/ingram/9780393351637.jpg?height=500&v=v2
The Myth of Artificial Intelligence: Why Computers Can't Think the Way We Do,Erik J. Larson,9780674278660,https://bookshop.org/p/books/the-myth-of-artificial-intelligence-why-computers-can-t-think-the-way-we-do-erik-j-larson/18467605?ean=9780674278660,https://images-us.bookshop.org/ingram/9780674278660.jpg?height=500&v=v2-a2b0f99387e02160d7d276c3b9dec6ac
The Promises and Perils of AI in Education: Ethics and Equity Have Entered The Chat,Dee Lanier and Ken Shelton,9798990840508,https://bookshop.org/p/books/the-promises-and-perils-of-ai-in-education-ethics-and-equity-have-entered-the-chat-ken-shelton/22161072?ean=9798990840508,https://images-us.bookshop.org/ingram/9798990840508.jpg?height=500&v=v2-4266c395fc4cd7a5227723ba63ac581d
"Custodians of the Internet: Platforms, Content Moderation, and the Hidden Decisions That Shape Social Media",Tarleton Gillespie,9780300261431,https://bookshop.org/p/books/custodians-of-the-internet-platforms-content-moderation-and-the-hidden-decisions-that-shape-social-media-tarleton-gillespie/ebca8ee6033c0f53?ean=9780300261431,https://images-us.bookshop.org/ingram/9780300261431.jpg?height=500&v=v2
"Enshittification: Why Everything Suddenly Got Worse and What to Do About It",Cory Doctorow,9780374619329,https://bookshop.org/p/books/enshittification-why-everything-suddenly-got-worse-and-what-to-do-about-it-cory-doctorow/d3f8483b158906ce?ean=9780374619329,https://images-us.bookshop.org/ingram/9780374619329.jpg?height=500&v=v2
